Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Latitude,Longitude
172653,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2011-01-01,12/01/2010,25.3,40.6710938,-73.9549284
172585,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2009-01-01,12/01/2008,26.93,40.6710938,-73.9549284
172721,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2013-01-01,12/01/2012,22.28,40.6710938,-73.9549284
547396,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2017-01-01,01/01/2017,7.53,40.6710938,-73.9549284
602729,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2018-01-01,01/01/2018,19.42,40.6710938,-73.9549284
605690,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2018-01-01,01/01/2018,7.27,40.6710938,-73.9549284
602846,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2018-01-01,01/01/2018,19.42,40.6710938,-73.9549284
547513,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2017-01-01,01/01/2017,7.53,40.6710938,-73.9549284
334096,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2015-01-01,01/01/2015,8.87,40.6710938,-73.9549284
742191,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2021-01-01,01/01/2021,6.61,40.6710938,-73.9549284
178576,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2013-01-01,12/01/2012,8.75,40.6710938,-73.9549284
212551,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2014-01-01,12/01/2013,21.75,40.6710938,-73.9549284
740922,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2021-01-01,01/01/2021,17.12,40.6710938,-73.9549284
176686,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2013-01-01,12/01/2012,22.28,40.6710938,-73.9549284
549788,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2017-01-01,01/01/2017,20.08,40.6710938,-73.9549284
172687,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2012-01-01,12/01/2011,22.88,40.6710938,-73.9549284
212929,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2014-01-01,12/01/2013,9.16,40.6710938,-73.9549284
178534,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2012-01-01,12/01/2011,9.13,40.6710938,-73.9549284
176644,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2012-01-01,12/01/2011,22.88,40.6710938,-73.9549284
212068,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2014-01-01,12/01/2013,9.16,40.6710938,-73.9549284
178450,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2010-01-01,12/01/2009,9.93,40.6710938,-73.9549284
410881,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2016-01-01,12/31/2015,7.94,40.6710938,-73.9549284
605807,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2018-01-01,01/01/2018,7.27,40.6710938,-73.9549284
174217,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2012-01-01,12/01/2011,9.13,40.6710938,-73.9549284
174251,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2013-01-01,12/01/2012,8.75,40.6710938,-73.9549284
742308,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2021-01-01,01/01/2021,6.61,40.6710938,-73.9549284
643345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2019-01-01,01/01/2019,17.69,40.6710938,-73.9549284
649690,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2019-01-01,01/01/2019,6.61,40.6710938,-73.9549284
176560,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2010-01-01,12/01/2009,25.17,40.6710938,-73.9549284
412456,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2016-01-01,12/31/2015,20.2,40.6710938,-73.9549284
211762,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2014-01-01,12/01/2013,21.75,40.6710938,-73.9549284
667111,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2020-01-01,01/01/2020,17.1,40.6710938,-73.9549284
176602,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2011-01-01,12/01/2010,25.3,40.6710938,-73.9549284
176518,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2009-01-01,12/01/2008,26.93,40.6710938,-73.9549284
336517,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,2015-01-01,01/01/2015,20.83,40.6710938,-73.9549284
410764,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2016-01-01,12/31/2015,7.94,40.6710938,-73.9549284
412573,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2016-01-01,12/31/2015,20.2,40.6710938,-73.9549284
549905,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2017-01-01,01/01/2017,20.08,40.6710938,-73.9549284
174149,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2010-01-01,12/01/2009,9.93,40.6710938,-73.9549284
741039,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2021-01-01,01/01/2021,17.12,40.6710938,-73.9549284
669811,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2020-01-01,01/01/2020,6.2,40.6710938,-73.9549284
178408,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2009-01-01,12/01/2008,10.75,40.6710938,-73.9549284
178492,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2011-01-01,12/01/2010,10.29,40.6710938,-73.9549284
333979,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2015-01-01,01/01/2015,8.87,40.6710938,-73.9549284
649807,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2019-01-01,01/01/2019,6.61,40.6710938,-73.9549284
172619,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2010-01-01,12/01/2009,25.17,40.6710938,-73.9549284
174183,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2011-01-01,12/01/2010,10.29,40.6710938,-73.9549284
174115,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2009-01-01,12/01/2008,10.75,40.6710938,-73.9549284
669694,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,2020-01-01,01/01/2020,6.2,40.6710938,-73.9549284
336634,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2015-01-01,01/01/2015,20.83,40.6710938,-73.9549284
667345,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2020-01-01,01/01/2020,17.1,40.6710938,-73.9549284
643462,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,2019-01-01,01/01/2019,17.69,40.6710938,-73.9549284
336637,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,2015-01-01,01/01/2015,19.09,40.6590529,-73.8759245
741042,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,2021-01-01,01/01/2021,16.12,40.6590529,-73.8759245
212552,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,2014-01-01,12/01/2013,19.75,40.6590529,-73.8759245
212069,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,204,East New York,2014-01-01,12/01/2013,9.04,40.6590529,-73.8759245
178577,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,2013-01-01,12/01/2012,8.69,40.6590529,-73.8759245
547399,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,2017-01-01,01/01/2017,7.52,40.6590529,-73.8759245
176645,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,2012-01-01,12/01/2011,20.67,40.6590529,-73.8759245
742311,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,204,East New York,2021-01-01,01/01/2021,6.55,40.6590529,-73.8759245
334099,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,204,East New York,2015-01-01,01/01/2015,8.72,40.6590529,-73.8759245
178409,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,2009-01-01,12/01/2008,10.6,40.6590529,-73.8759245
178493,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,2011-01-01,12/01/2010,10.09,40.6590529,-73.8759245
172722,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,2013-01-01,12/01/2012,20.19,40.6590529,-73.8759245
602732,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,2018-01-01,01/01/2018,17.56,40.6590529,-73.8759245
549791,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,2017-01-01,01/01/2017,18.31,40.6590529,-73.8759245
740925,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,2021-01-01,01/01/2021,16.12,40.6590529,-73.8759245
172688,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,East New York,2012-01-01,12/01/2011,20.67,40.6590529,-73.8759245
410884,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,204,East New York,2016-01-01,12/31/2015,7.8,40.6590529,-73.8759245
605810,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,204,East New York,2018-01-01,01/01/2018,7.06,40.6590529,-73.8759245
